,City,Country,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
579,Broome,AU,-17.97,122.23,94.95,94.95,41,1,8.05,clear sky
294,Kununurra,AU,-15.77,128.73,94.98,94.98,26,17,6.91,few clouds
668,Cairns,AU,-16.92,145.77,84.25,95.07,74,4,5.75,clear sky
428,Yulara,AU,-25.24,130.99,95.68,95.68,11,0,0.87,clear sky
585,Alice Springs,AU,-23.7,133.88,88.21,96.35,40,0,16.11,clear sky
414,Myitkyina,MM,25.38,97.4,97.16,97.16,16,100,1.68,overcast clouds
331,Trat,TH,12.5,102.5,97.43,97.43,31,48,5.14,scattered clouds
566,Shwebo,MM,22.57,95.7,98.04,98.04,12,94,7.81,overcast clouds
244,Magway,MM,20.15,94.92,98.98,98.98,13,83,9.31,broken clouds
509,Karratha,AU,-20.74,116.85,101.34,101.34,21,0,12.17,clear sky
198,Roebourne,AU,-20.78,117.13,102.52,102.52,17,0,6.58,clear sky
104,Port Hedland,AU,-20.32,118.57,104.05,104.05,22,0,13.8,clear sky
